	question	answer
10	Formulář žádosti o mezinárodní přihlášku patentu.	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
11	žádost o mezinárodní přihlášku patentu.	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
12	Jak přihlásit patent do zahraničí?	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
13	Jak zaregistrovat patent do zahraničí?	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
14	Jak přihlásit vynález do zahraničí?	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
15	Jak zaregistrovat vynález do zahraničí?	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
16	Chci přihlásit patent do zahraničí.	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
17	Chci zaregistrovat patent do zahraničí.	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
18	Chci přihlásit vynález do zahraničí.	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
19	Chci zaregistrovat vynález do zahraničí.	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
20	Mezinárodní patenty.	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
21	Formulář žádosti o mezinárodní zápis užitného vzoru.	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
22	žádost o mezinárodní zápis užitného vzoru.	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
23	Formulář žádosti o mezinárodní přihlášku užitného vzoru.	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
24	žádost o mezinárodní přihlášku užitného vzoru.	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
25	Jak přihlásit užitný vzor do zahraničí?	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
26	Jak zaregistrovat užitný vzor do zahraničí?	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
27	Mezinárodní užitný vzor .	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
28	Mezinárodní užitné vzory.	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
29	Formulář žádosti o mezinárodní zápis průmyslového vzoru.	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
30	žádost o mezinárodní zápis průmyslového vzoru.	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
31	Formulář žádosti o mezinárodní přihlášku průmyslového vzoru.	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
32	žádost o mezinárodní přihlášku průmyslového vzoru.	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
33	Jak přihlásit průmyslový vzor do zahraničí?	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
34	Jak zaregistrovat průmyslový vzor do zahraničí?	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
35	Jak zapsat průmyslový vzor do zahraničí?	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
36	Mezinárodní průmyslový vzor .	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
37	Mezinárodní průmyslové vzory.	Na stránkách Úřadu naleznete informace týkající se přihlašování do zahraničí, a to vždy v rámci sekce věnované jednotlivým průmyslovým právům, tj. patentům, užitným vzorům, průmyslovým vzorům, ochranným známkám a označením původu a zeměpisným označením.
38	Co chrání autorské právo?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
39	Na koho se vztahují práva související s autorským právem?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
40	Jak dlouho platí autorské právo?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
41	Je nutné autorské právo někde registrovat ?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
42	Je nutné autorské právo někde zapsat?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
43	Co je možné dělat s dílem bez autorova souhlasu?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
44	Co je považováno za legální užití autorského díla?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
45	Kdo má na starosti autorské právo v České republice?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
46	užití autorského díla	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
47	Jaká jsou omezení autorského práva?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
48	Co se stane, pokud někdo poruší autorské právo?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
49	Co se stane, když někdo poruší autorské právo?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
50	Kam se obrátit s dotazy k autorskému právu ?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
51	Kam se obrátit s dotazy k autorským právům?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
52	Co je možné bez souhlasu autora?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
53	Co můžu bez souhlasu autora?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
54	Co lze bez souhlasu autora?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
55	Mám autorské dílo registrovat?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
56	musím autorské dílo registrovat?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
57	musí se autorské dílo registrovat?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
58	kde autorské dílo registrovat?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
59	Kdy vzniká autorské právo?	Autorské právo chrání výsledky lidské tvůrčí činnosti např. v oblasti literární, výtvarné, hudební, fotografické, architektonické, choreografické, patří sem i oblast  softvéru a počítačových her. Takzvaná práva související s právem autorským se vztahují také na interprety, překladatele, nahrávací společnosti, rozhlasové stanice, vydavatelství a další. Autorské právo vzniká okamžikem vzniku díla a platí po celý autorův život a ještě 70 let po jeho smrti. Není třeba jej nikde registrovat. Bez autorova souhlasu není možné dílo např. kopírovat, šířit, upravovat, vystavovat či půjčovat. Legální je pouze užívání díla pro osobní potřebu na nekomerční bázi. Autorské právo je v gesci ministerstva kultury české republiky.
60	Co je to stížnost?	Stížnost je podání nebo sdělení, které někdo podá veřejnoprávní nebo soukromoprávní osobě nebo orgánu, pokud předmětem je nějaký nedostatek, nesprávné jednání nebo nečinnost adresáta nebo osoby, vůči níž má adresát nějakou pravomoc nebo odpovědnost, zejména nemá-li takové podání podle zvláštních právních předpisů jiný název. Stížnosti doručené Úřadu, tříděné podle let, a reakce Úřadu na ně, včetně Směrnice k vyřizování stížností v Úřadu průmyslového vlastnictví naleznete zde.
61	Kde mohu najít informace o stížnostech?	Stížnost je podání nebo sdělení, které někdo podá veřejnoprávní nebo soukromoprávní osobě nebo orgánu, pokud předmětem je nějaký nedostatek, nesprávné jednání nebo nečinnost adresáta nebo osoby, vůči níž má adresát nějakou pravomoc nebo odpovědnost, zejména nemá-li takové podání podle zvláštních právních předpisů jiný název. Stížnosti doručené Úřadu, tříděné podle let, a reakce Úřadu na ně, včetně Směrnice k vyřizování stížností v Úřadu průmyslového vlastnictví naleznete zde.
62	Kde můžu najít informace o stížnostech?	Stížnost je podání nebo sdělení, které někdo podá veřejnoprávní nebo soukromoprávní osobě nebo orgánu, pokud předmětem je nějaký nedostatek, nesprávné jednání nebo nečinnost adresáta nebo osoby, vůči níž má adresát nějakou pravomoc nebo odpovědnost, zejména nemá-li takové podání podle zvláštních právních předpisů jiný název. Stížnosti doručené Úřadu, tříděné podle let, a reakce Úřadu na ně, včetně Směrnice k vyřizování stížností v Úřadu průmyslového vlastnictví naleznete zde.
63	Kde lze najít informace o stížnostech?	Stížnost je podání nebo sdělení, které někdo podá veřejnoprávní nebo soukromoprávní osobě nebo orgánu, pokud předmětem je nějaký nedostatek, nesprávné jednání nebo nečinnost adresáta nebo osoby, vůči níž má adresát nějakou pravomoc nebo odpovědnost, zejména nemá-li takové podání podle zvláštních právních předpisů jiný název. Stížnosti doručené Úřadu, tříděné podle let, a reakce Úřadu na ně, včetně Směrnice k vyřizování stížností v Úřadu průmyslového vlastnictví naleznete zde.
64	Kam má být stížnost podána?	Stížnost je podání nebo sdělení, které někdo podá veřejnoprávní nebo soukromoprávní osobě nebo orgánu, pokud předmětem je nějaký nedostatek, nesprávné jednání nebo nečinnost adresáta nebo osoby, vůči níž má adresát nějakou pravomoc nebo odpovědnost, zejména nemá-li takové podání podle zvláštních právních předpisů jiný název. Stížnosti doručené Úřadu, tříděné podle let, a reakce Úřadu na ně, včetně Směrnice k vyřizování stížností v Úřadu průmyslového vlastnictví naleznete zde.
65	Kam musí být stížnost podána?	Stížnost je podání nebo sdělení, které někdo podá veřejnoprávní nebo soukromoprávní osobě nebo orgánu, pokud předmětem je nějaký nedostatek, nesprávné jednání nebo nečinnost adresáta nebo osoby, vůči níž má adresát nějakou pravomoc nebo odpovědnost, zejména nemá-li takové podání podle zvláštních právních předpisů jiný název. Stížnosti doručené Úřadu, tříděné podle let, a reakce Úřadu na ně, včetně Směrnice k vyřizování stížností v Úřadu průmyslového vlastnictví naleznete zde.
